STATE;REGION
WA;West
MT;West
OR;West
ID;West
WY;West
CA;West
NV;West
UT;West
CO;West
AZ;South West
NM;South West
TX;South West
OK;South West
ND;Mid West
SD;Mid West
NE;Mid West
KS;Mid West
MN;Mid West
IA;Mid West
MO;Mid West
WI;Mid West
IL;Mid West
IN;Mid West
MI;Mid West
OH;Mid West
HI;West
PA;North East
MD;North East
DE;North East
NJ;North East
CT;North East
RI;North East
MA;North East
NH;North East
NY;North East
VT;North East
MA;North East
AR;South East
LA;South East
MS;South East
AL;South East
GA;South East
FL;South East
TN;South East
KY;South East
WV;South East
VA;South East
NC;South East
SC;South East
AK;West
ZZ;Unknown